"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27"
"1","征管","五保户","机动车","招商引资","生机","第二批","卓有成效","阐述","紧紧","新理念","调配","高性能","中共","投资","联合","步","认证","经济","鼓舞人心","硬仗","蒙西","讲好","储蓄存款","小湾","关系","定居","就业"
"2","周年"",","纪念馆","西新","努力争取","创汇","民心","强劲","店","人民政协","基地化","打破","各项改革","身体素质","农业","共命运","日益增长","风清气","工作","二三","近倍","营业税","更是","社会工作","国家标准","团结一心","四期","体系"
"3","东巴","国家级","接种","实施细则","中职","提交","催人奋进","正式","旱灾","南岸","达标排放","尖锐","列席会议","体制","港口城市","队员","支持","增长","药物","学会","啤酒花","尽力","察","缩减","示范园区","主管","服务"
"4","千载难逢","惩戒","刹住","晶","独龙江","光机电","链","品牌","工程款","百家","客商","劣势","有人","领导","辅","立足于","衬底","重点","玉柴","用好","压倒一切","纳入","集体土地","库容","供应","日用","机制"
"5","八条","明天","滋生","消费水平","至京","宏观管理","工艺技术","公积金","过高","平方米","客观规律","折腾","批准","统筹","工农","川","万张","实施","开发性","深度加工","存","从无到有","技术开发","废水","博士后","太阳能","提升"
"6","宏观政策","廊","生产资料","死灰复燃","多万千瓦","免征","收","政绩","二等奖","入世","许可权","体验","重大事故","进展","执法监督","上年","排忧解难","提高","学法","根基","降至","规范市场","并行","时艰","职业病","俄蒙","深化"
"7","跨省","高等学校","推向","控股集团","气象预报","稅收","差距","种草","西出","上下游","开行","第二条","大专院校","抓好","归宿","除恶","承接","企业","支线","山水","行使","乡镇干部","大气环境","地为","尽早","五大","增加"
"8","勤俭节约","敌","新篇章","海","份额","建档立卡","汇聚","兰新铁路","请予","银山","减量","港澳地区","惩","卫生","低保户","在校","主渠道","社会","功能","水体","农业税","政权建设","不利于","市场化","环境质量","给排水","一批"
"9","设市","会商","高等级公路","联结","换届","打招呼","落后","边疆民族","奶牛","家属","轮作","穷","持卡","新兴产业","教材","要素","和睦","改革","树立","品德","一等奖","清费","首期","努力提高","群体性","高等院校","事业"
"10","宁波","统一规划","千家","劳资","空间规划","村口","稳中有","求实","战略规划","钱","趋利避害","中蒙","基层政权","需求","风气","打好","适度","农村","设置","少有","管理体制","四年","内引外联","国际品牌","险","美德","改造"
