"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28"
"1","工资","行为规范","关闭","的县","纠错","工作","冷链","聚氯乙烯","东至","崇左市","分配机制","人民","公务员","跨界","通气","残疾人运动会","联席会议","节约使用","市民化","枢纽","银行","减量化","着眼点","增长","价格上涨","七次","拥政爱民","财政监督"
"2","破","珠三角","服务站","克服困难","医改","社会","共克","明显改善","社会","车辆","前列","万亩","艰苦","中起","赣浙","清正","占全","开发新","足","永续","科技含量","糖","摸清","经济","万元","关键问题","一等奖","冰雪"
"3","立法","及早","援建","稽查","东亚","提高","传统媒体","民政","勇于创新","工作队","速","统筹","国债","第个","操作","铜牌","占领","支牧","优良品种","街区","机器人","涉牧","能效","产业","降碳","写","拥护","初步成效"
"4","严格遵守","事务","指战员","辅业","产销","改革","细化","新机遇","国际商贸","日趋","好收成","发挥","优秀作品","社会工作者","分別","花山","委员会","因地制宜","纪念","小企业","泰","民办","优抚工作","进一步","涉企","边关","欧洲","紧紧"
"5","若干个","质检","不容忽视","市场份额","全程","企业","上规模","思想","由年","因灾","医务人员","基础","十运会","中信","示范点","粉煤灰","煤制油","万例","课本费","位居","演艺","若干意见","红色","投资","资产重组","除恶","本省","欺诈"
"6","献礼","独立","率","义务","梦想","农村","这一","设立","吐哈","迁建","起步","服务体系","还要","联席会","有害","水利水电","态度","总人口","制订","趋利避害","猪","荒漠","势头","实施","链","随机","购车","占补"
"7","血透","固定","体检","风能","直航","亿元","河堤","转运","吃","趋紧","武汉","生产","策划","交通运输业","兴贸","零增长","宏观管理","敬意","工资改革","发展趋势","多办","令人鼓舞","离不开","就业","龙头企业","理财","联营","讬"
"8","地税","地上","以城带","挂","催生","工程","抽查","土壤","充满","平衡","指明","失业","东盟自由贸易区","征求","闲置","会议","考核制","牢","基调","有个","画派","村村通","新闻出版","文化","高等院校","收集","两带","征询"
"9","商品价格","和谐社区","舌尖","风尚","对象","完善","管理人员","着重","二甲醚","特殊政策","著名","全面完成","招大","历程","公共资源","务工","克","生产资料","文化名城","水毁","意愿","历年","发展中国家","制度","战略地位","综合利用","难忘","抢占"
"10","迅猛","龙滩","新路子","锦标赛","法制","政府","降幅","执法","社会效益","区别对待","大规模","省级","能源工业","减负","地方性","治省","招生","育","水电","单体","九届","受益","全面解决","加大","岗","作品","兵","差别"
