"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"1","长水","镇","并存","企业","跨年度","万件","基金会","国内形势","努力争取","一要","整洁","机制","追究制","社会各界","亮丽","理顺","赛里木湖","民生","经济","各种因素","公司法人","信息安全","附属","技术开发区","和顺","研究所","大中小","四五","打印"
"2","嵌入式","文山会海","优质稻","产业","生态农业","整县","使用率","材","一票否决","沙漠","税收政策","环境","方针政策","信念","丰收","运输网络","严密","干部","工作","复明","小金库","铁山港","获","大厦","坚信","室","十分艰巨","入股","大丽"
"3","整车","有人","过硬","增长","决胜","马来西亚","工作队","第一位","沙","烧碱","同登","结构","兴办","例","以党","公正执法","跨国","星星峡","实施","初级产品","还要","不竭","既要","航电","反弹","复苏","街巷","良好环境","一家亲"
"4","税收制度","糖业","远程","加大","士气","银行业","中小学生","军民关系","红十字会","吉林台","等市","人均","带头","稀","初期","用人","舆论导向","搞活","社会","经济合作组织","昌北","见效","防城","新品种","外贸企业","立足点","轴线","筹","独龙江"
"5","河道","定额","认真对待","文化","向管","三年","功","井冈山市","优抚工作","理论","国土资源","引导","大排查","认定","青年","志","名牌","低保金","改革","骨干教师","透明","创意","主导地位","市级","主干线","对敌","木卡姆","政务信息","压缩"
"6","行风","水口","清真","教育","新招","对稳","可再生","两城","审定","沃土","就业结构","党","添","汗水","财政监督","精湛","病虫害","后顾之忧","农村","阳光工程","导致","用房","六五","销售额","抢占","肇庆","治国","铝材","诚信教育"
"7","路网","进步奖","长城","支持","贺州市","事关","宝贵财富","新设","做法","勘界","密切配合","深入开展","百项","鲁甸","弊端","乡镇财政","旅游","跃升","项目","拉动力","国际友人","船闸","自主权","减收","无愧于","艾滋病","东南","分税制","民主制度"
"8","铌","航天","脱","管理","竞争能力","列车","实时","政策法规","党和国家","贵","心理","做","村容","瘦身","导航","第十二次","民生","深远影响","工程","坂","外送","旅游","跨海大桥","委托","解决困难","城等","符合实际","加工出口","提质"
"9","创业者","待售","隆林","农业","新能源","国际航空","主导型","改观","务工","充满","稳居","义务教育","美好生活","先进经验","兵地","泉","选择地","环卫","投资","英","个人帐户","十二届","壮医","集团化","节水","方志","八件","封建迷信","一路"
"10","总和","用能","光辉","服务","决议","国际足球","前置","有效率","酒","通关","深圳","公共服务","摇篮","解困","执政为民","四化","发展中国家","自动","完善","安全可靠","党员","台港澳","堂堂正正","不良贷款","兜","层层落实","技术咨询","内部结构","万件"
