"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30"
"1","北岸","工作","承前启后","栽培","经济繁荣","支持","突如其来","委员会","生态环境","至京","办出","疫苗","主业","外向","吸收","新旧","勘界","扶志","军民共建","直面","果蔬","省内外","经济","攻","风尚","福","就读","篇章","金融部门","表率"
"2","废水","企业","节支","薄弱环节","语言文字","加大","审查","工伤保险","沉着","电动汽车","界限","人次","渗透","草食","人畜","出口产品","故事","多层次","七个","第二条","宏观政策","占有","改革","集约化","第五","财政支出","消费","三实","供气","常务委员会"
"3","退伍军人","农村","毛泽东思想","西新","真抓实干","社会","职能作用","支撑力","市场供应","执政为民","消耗","宜居城市","铁合金","承包地","回采","观","创业园","超采","苜蓿","大城市","中关村","延续","产业","房子","服装业","背景","税收政策","违法违纪","社科","工交"
"4","店个","工程","闯","严格遵守","密切相关","政策","片区","科技人员","二等奖","德","奋发努力","价值体系","正","无私援助","提振","滨湖","继续加强","赣欧","科技人才","任重道远","厦门","国有土地","亿元","二元","铜墙铁壁","增长极","龙头企业","连续性","首个","亮点"
"5","铁山港区","项目","应届","一届","人事","一批","团结奋斗","牛奶","机器人","养老","短平快","就业机会","避灾型","证照","文博","就业指导","农林水利","建设者","实验区","控制力","核算","坚实","进一步","开行","不为","市场份额","基础","中国人民解放军","民企","大中城市"
"6","大兴安岭","完善","共产党员","国家验收","访","提高","增长率","征程","节余","金鼓","白血病","体育事业","诚挚","有人","海铁","南昌大学","五小","视野","修","快递","一要","赔偿","增长","圩","技术开发区","凤","流域","小区","新增","材"
"7","严格考核","文化","向心力","上线","投向","国家","主导型","压减","开荒","改建工程","跨海大桥","培训中心","崇左市","遴选","峡江","德治国","业态","通高","一村","调配","倍加","督察组","就业","民主评议","卡拉","开局","占用","谷","大面积","辐射面"
"8","非工口","制度","天网","关联度","管不了","增加","经济指标","双线","机电产品","开办","货物贸易","提高效率","一是","千乡","财政监督","经济合作组织","万亿","文明单位","决策程序","新闻媒体","军队","科学院","重点","低压","井","实行","於","工青妇","争做","指导性"
"9","中等水平","提高","高新产业","位居","来源","战略","兰新铁路","初步成效","防疫","并行","里","抢占","疾苦","导致","多点","公共政策","二要","典籍","黑色金属","奶类","户","平息","投资","面对面","引进人才","多方面","麻栗","轻纺","装配式","监理"
"10","双层经营","政府","参政议政","期","涨价","科技","浮躁","装修","第三届","入股","担当","除恶","口岸","人民","海勃湾","市场秩序","多个","督导","五期","经营规模","爱国人士","兴疆","创新","典型","同治","奔头","非国有","公众","优质服务","深水"
