"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31"
"1","信访","马克思列宁主义","展望未来","塔里木盆地","换届","稳步发展","充分肯定","万众","造地","这场","关联","气力","农村","努力奋斗","好转","绿色生态","交易成本","四次","活力","实质","经济","拉长","莲花","县通","运动员","莎车","储蓄存款","在校学生","全国运动会","吃","增强"
"2","市场占有率","乌昌","会展经济","惩治腐败","防空","全国人大","用来","不严","限期","打印","萍","相结合","政府","访问","代建制","抚","双千","土地","实际困难","优生","工作","时","绝不","粮","供应","同口径","本质","创立","led","异常","规模"
"3","货物贸易","烟花爆竹","相处","自住","家具","危","低速","信教","停止","地铁","建设项目","驻","投资","职业病","株","提高素质","铝业","严峻考验","关停","份额","增长","检测","拥有","梦","蒙药","保护地","钢材","祥和","地条钢","操作","健康"
"4","边陲","之广","处罚","审核","青少年","丰硕","期待","具体措施","东盟自由贸易区","及个","乐滩","关口","制度","监督制约","进疆","支线","拥军","单体","创业园","共同体","社会","丰林","教学改革","农业税","视察","国债资金","限额","出生率","共圆","认定","化解"
"5","争当","指示","有法不依","蒙西至","集贸市场","启动","管理制度","豪情满怀","精湛","国投","排查","之外","管理","国有资本","环境监测","住房补贴","l","鸠","第一个","展望","重点","进","不稳固","半停产","中医药","共担","有限","国","紧张","文化教育","壮大"
"6","游山玩水","普通本科","保密","国检","信用贷款","井","物种","奶粉","铁路运输","河内","广州","动车组","服务","发展中国家","青山","家属","政治","服务网","小镇","侵害","实施","湿地","经办","湖北","职责","东站","石","总产","缺水","职业道德","县域"
"7","掛钩","快捷","末梢","林田","庄严","一要","界","法律援助","水城","爬坡","河谷","学科建设","市场","曲折","税种","安危冷暖","国有土地","怒江","门户","化解","企业","医养","转变观念","不行","进取","放在心上","劳有所得","办复率","新高潮","大会","稳"
"8","影院","国省","光","联动机制","证明","校企","长效机制","付费","维吾尔","寨","第八次","全面推广","基础设施","重庆","用电","合理安排","承诺","坂","增多","招工难","提高","抵制","不断前进","红河州","党委","映象","充分运用","见底","邮政","伟大事业","进出口"
"9","专注","组合","缴费","遵循","砂石路","新格局","状态","火炬","调整期","沟通","投劳","列席","合作","清产核资","扶助","有望","本世纪","集中统一","工业园区","蓝天白云","改革","深山区","及时发现","极端化","立足点","预料","严把","制品","后生","按规定","扩大开放"
"10","鼎","病房","萎缩","制约","行政监督","时间","面源","散居","阿岗","牵引","关丹","垃圾","目标","一如既往","强桂新","稳中有","党执政","开拓进取","电讯","统一规划","亿元","使命","实施细则","民航","运输网络","便利化","昌河","妇联","成","降碳","队伍"
