"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32"
"1","有益","高产","于田","超过","补充","大石","昌抚","皖赣铁路","降低成本","差异化","摩托车","总体方案","舞蹈节","官僚主义","经贸合作","减贫","落地生根","生产资料","云岭","产业","颁证","坚定信心","石油","直","执法人员","经济","性质","整车","会风","确保安全","西","更多更好"
"2","以新","资格","工资制度","补偿费","行政区","授课","卓有成效","事关","奎","永续","拍卖","套","生命安全","微利","基础产业","城川","征询","脱硝","昭苏","就业","深入群众","新风","处在","补齐","筹办","工作","增设","供排水","严肃性","万众","短","战略部署"
"3","购物","市场运作","转变职能","顽强拼搏","生态化","技术咨询","盘活","失职","阻碍","服务型","农村教师","关联","试点","对待","权","贸易区","农业机械","学法","优良作风","管理","洪涝","改观","增产增收","上扬","边关","增长","恳谈会","成新","职教","制度化","公园","栽培"
"4","堤防","招商","主通道","柳州市","固边","低丘","吸收","对台","荣辱观","伶俐","股份","万平方米","开办","岸线","创新型","生产型","趋利避害","职工收入","过渡","基础设施","畜产品","省部","国门","出版物","额度","社会","通勤","内部结构","本省","小额贷款","黑臭","领先水平"
"5","枚","审定","三年","中促","合资","责任制","回乡","两条","新生","重点高校","既为","东南","幸福生活","脱","全年","廖坊","富宁","补奖","特定","新增","高地","后证","玉溪市","加快调整","义不容辞","重点","富士康","成矿","隐性","发展观","总收入","不断创新"
"6","安全事件","扩区","加以解决","三大战役","所谋","日本","营业额","阐述","各族群众","煤炭企业","社会效益","五象","阳光","汲取","积极争取","虚","岭","土","彭泽","大力发展","饮水难","师资队伍","造地","添","扎","改革","文化景观","调运","外向","激励","过硬","撤地"
"7","龙门","零部件","莆","锡","资源税","商用","管理局","内生","不利因素","填补","事业","久","滥","消化吸收","改革开放","占有","铁路运输","边境","合资","消费","到来","蒙古语","心理","句号","原则","提高","血防","职业院校","起草","所办","社情民意","那坡"
"8","宜林","参股","矿权","群众路线","摆上","尽职尽责","至大","挪用","视频","大幅度","偏重","补助金","业务素质","布局","社区服务","统计调查","新网","出生","占用","全国","向管","蒙西至","分解","调减","规范性","实施","光荣院","沿岸","力求","实景","不因","院"
"9","以铁","冷链","年薪制","目的","各省","龙虎山","第十四届","闲置","稳控","亚洲","内引外联","公开","主体作用","文艺创作","十大","直航","关键问题","抗击","柳东","人均","后付费","下坂地","有机","沪","通乡","企业","侵犯","港澳台","楼","递增","县县","来宾市"
"10","彝良","高档","真话","共和国","要以","同心","港澳","控制目标","四化","行必果","疏通","企沙","后顾之忧","龙南","腐败","接种","接替","驾驭","贫困人口","质量","输水","网站","转轨","第二批","易发","农村","省情","后续","不良贷款","辽河","负债","功"
