"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34"
"1","增强","农药","民心","深","直航","局部地区","争创","绩效","县际","奥运","转轨","高等级","光辉","期盼","水库","工作","人大","心系","住房条件","腐","万名","国土资源","工程","商品粮","变为","阿尔塔","宜居城市","排第位","后期","见效","低等","万张","团队","余地"
"2","一类","红水河","自由贸易","兴国","扎扎实实","监督制度","议案","三中","农林牧渔业","国际金融","里程碑","什","重中之重","考核制","好省","经济","换","深度加工","优秀人才","冷链","超级稻","根本途径","国家","划区","陆续","指战员","阵痛期","专","走势","拨付","先照","财产权","安全事件","意外"
"3","是从","繁荣","一票否决制","边民","一次性","去","千伏","支援","福建","力保","妇","围绕","基调","反对","生动","增长","交易中心","菜篮子","学会","引发","财税","参展","一批","以人","文化馆","可望","育","发声","整车","地震","集资","千家","千吨级","存贷"
"4","电煤","带头","联社","孤残","舞台艺术","技术性","资源整合","官兵","滇西北","严管","低保户","创业园","四个","损害赔偿","阳","社会","黄金","德治国","改","气体","营业执照","铃","群众","大米","全力支持","纪律","海洋工程","节支","预算外","烤烟","三化","经过努力","进一步提高","赛维"
"5","棉纺","界定","港澳同胞","湛江","考验","主导力量","命运","面貌","劳动合同","款物","良性循环","错综复杂","车辆","被动","华夏银行","实施","博士学位","洽谈","百年一遇","减","奶牛","国际友人","提高","尽早","遵循","应保","烟叶","言必信","至大","莆","供销社","扫除","直升机","失职"
"6","每人每年","公安民警","科技体制","离任","以权谋私","生命线","千万只","家园","资金不足","非金融","发展期","装配式","文件精神","上饶市","金鸡","改革","有利于","恳谈会","集疏运","户","省属","慈善事业","生活","课程","茶","大排查","条块分割","纸业","富集区","氧化铝","盈利","乘势而上","地中海","炼化"
"7","授予点","丰硕成果","铺张浪费","牧","十届","工作效率","艰苦创业","铁山港","二元","市民化","东欧","科教文卫","卫星","金奖","超亿","重点","特产品","综合体","预决算","壁垒","酒精","业务素质","行政","联运","第二条","贝利","资源库","草地","深厚","尽可能","科技成果","邮电","集约化","朝觐"
"8","供求","包钢","宜林","不容忽视","二极管","查","周岁","粮","难题","恶化","规矩","涨价","团组织","大灾","节奏","企业","非烟","硬化","法定","反","开创","石墨","旅游","亿公斤","中共","园林城市","校企","多发","高危","教室","发动机","绝不能","务","东南亚"
"9","兴起","社会公德","更趋","广通","年限","武汉","钢材","简化","基地化","零部件","零部件","砂石路","敬老院","有望","预见性","农村","马车","直通","第次","起数","日益完善","大局意识","确保","万间","成人","依法行政","青","改进","劳动报酬","公铁","倒逼","美国","固碳","交易会"
"10","亿立方米","吐哈","专项经费","企业信用","政治文明","私有财产","挖潜","场","高铁","民办学校","输出","奔小康","阶梯","可比价格","取","亿元","大龄","尿毒症","萍钢","力推","批示","工艺","农民","内涵式","聘请","草场","赋予","蒙","事故","人员培训","找矿","会展中心","光明行","根本途径"
