"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40"
"1","带薪休假","责任保险","停建","精干","学科建设","管理","选择地","苏区","形象","立省","经济","刑事","储备库","说实话","交通设施","普查","法律顾问","铝业","港澳","开发式","同等","维","资金不足","客运专线","风尚","灵敏","新线","崭新","什","城川","主导型","师资","达元","国投","五象","查村","广电","质量第一","欧洲","城市"
"2","总体规划","高标准","中低端","承载","后发","稳定","经营规模","无线电","商标","越权","工作","燃煤","造血","药","招投标","屯级","人尽其才","信义","跨越式","托底","行稳","五中","处置","严控","落实","政绩观","低收入","要实","懈怠","巴楚","示范园","普及率","天山南北","民工","开业","进出口","文件精神","来疆","高科技","全国"
"3","旅游城","收尾","温家宝","两手","参会","深化","居家","合格","支教","南丹","增长","准入关","战略思维","药交会","小水电","抗灾","税金","身子","卫生事业","演出","告诉","永无止境","娱乐","税率","艺术馆","入桂","生等","灵活性","锡盟","代表处","负债","并用","父母","郁江","监督管理","共和国","背景","矿业","内外贸","结构"
"4","证书","建设工程","降本增效","海外","占领","提升","个户","大户","电子化","求新","社会","看齐","联社","走过","修改","充满信心","不该","遵守","广西大学","致以","同治","空间布局","白内障","努力学习","为本","认真总结","体育场","农网","生产性","采伐","体育运动","直管","额尔齐斯河","再生","哈尼","走向世界","明月山","办会","赛事","引导"
"5","矿权","深入开展","统计","民心","商","资源","并存","羊","三张","任务艰巨","重点","能源消耗","开发式","农户","总体","稳控","雄风","scdma","之多","阿尔泰山","每万","分工协作","大好","初级阶段","详查","人数","制药","评价","再创新高","心血","订单","民族乡","先照","农网","储蓄存款","技能型","切实有力","时限","大幅度","和谐"
"6","疆电外","基础教育","防线","投资规模","猪","领域","当年","检查和","恶化趋势","知识产权","提高","出版","探险","统计调查","石油化工","ldk","碧","国民素质","热水器","在内","基本方针","矫正","外交部","食品工业","浪费","开源节流","劳动生产率","银","书","急剧","蛋","质感","清零","求变","资助","第二台","自治县","旗帜鲜明","共","引进"
"7","对台","达","竞相","大幅度提高","病防治","建成","入住","万亿元","数据","收回","改革","裂变","水火","储运","走上","第九届","灌溉","承包地","危","阳朔","门","假","罗布泊","高危","二氧化硫","订单式","备案","园艺","防沙","治旱","健全","推向市场","个性化","休閒","托养","稳定性","集体主义","要稳","编制工作","节能"
"8","超额完成","本省","大幅度","民之所望","占有率","鼓励","有错必纠","人才交流","建疆","乱占耕地","实施","拥有","权力观","外商投资","服从","有偿转让","创优","财经","第十三个","冶","打破常规","量","现行","平均水平","分布","奉公守法","好个","更多","趋缓","转向","前年","阴极铜","战略重点","向上","必胜","人民政府","社保","防洪堤","经过努力","领导"
"9","加快调整","岩","差别","蕴含着","各种因素","消费","校安","中国联通","柳钢","囤积","农村","旅交会","万支","期末","更长","有令不行","搬迁","国际足球","八条","潭","十分之一","商品房","一等奖","年龄","冷链","牞","西起","民族自治","游牧民","十条","周密","自立","建制","尽力而为","名牌","新批","彭泽","隘岭","初步解决","各类"
"10","战略思想","节庆","出疆","提效","起数","人口","在城镇","点个","发达国家","工程化","企业","浓厚","武九客","亿美元","梧州市","办实","性支出","西行","勤俭","存栏","晚稻","次","苏","课题","拨款","名街","资源共享","河湖","赣东","人民政府","义务兵","规费","现行标准","板块","瓷","更新换代","财政监督","反分裂","两步","打造"
