"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50"
"1","加工工业","技术标准","策","简单","修编","强迫","二级","基础薄弱","威","运输网络","工作","公办","文化","三峡","不负","油运","纵向","农田水利","城化","煤层气","商会","文化娱乐","繁育","企沙","骨干教师","电视","优待","双边","一产","工作思路","就读","党和人民","对外经贸","研究院","呈现","煤矿","有步骤","首台","卷烟","鼓舞人心","海防林","平果","共同进步","边贸","舌尖","物流业","转入","抱","武功山","呼市"
"2","转企","长寿","中国人民解放军","泥石流","南昌大学","外币存款","集体主义","科技","干部作风","贫困学生","增长","见效","稳定","表率","农林牧渔","上规模","奋发图强","铜牌","挖潜","金牌","干部人事","职能作用","征途","千载难逢","任职","荣辱观","五定","投运","不严","危","搞好","环境保护","直播","严打","分级","高科技","内部监督","能源开发","贺州市","万标箱","根据上述","年来","储量","未成年人","应对","试点县","流出","固体废物","操作性","一部分"
"3","互促","国际足球","孤立","局部","空气污染","陆","销售总额","虚名","邕江","未用","经济","挂包","城市","余件","黎湛铁路","防城","大城市","移交","终点","瞄准","总人口","拼搏","报酬","诊断","歌舞","历届","航电","额","忧","行使职权","打印","增效","感情","集中力量","饮水","火炬","中越","减贫","期货","民生问题","一届","第三轮","学会","价","号","常住人口","类项","用活","温","价廉"
"4","珍贵","批评","世行","改薄","辛勤工作","怒江","吉音","采收","泛北","低保金","社会","工程款","服务","年来","打黑","尾气","每人每年","洪涝","站个","外向","从重从快","装潢","分公司","楼","钥匙","联社","妥善","中马","住宿","京","食品工业","表面","享受","道","尽可能","抚","行风","检察院","基本面","供水","总理","地质矿产","党和国家","呼吸","由年的","考验","要实","教室","铜箔","软硬"
"5","理财","来之不易","在改革中","问责制","合力","感恩","致远","区个","公路交通","源泉","重点","外贸","资金","矿区","当好","主导作用","秋冬种","奠定","水稻","住","萍钢","延包","棋盘","独立行使","等七大","属性","学","空间布局","模式","极为","滞后","水准","初中","社会安定","农补","人才培养","橡胶","裁员","洋溪","医疗保险","暴力","双双","标准厂房","后期","兴农","一项","在于","趋向","玛","制丝"
"6","西亚","高峰","技术人员","股权","四维","短","补偿","懒政怠政","鹰潭市","辜负","提高","一百年","增加","油","扫黄打非","腐败现象","为强","有户","治沙","清费","房屋","西线","关检","镇雄","选派","阿克","优惠","跨越","总播","长","初具规模","通乡油","迈上","预报","市场规律","迎来","财政收入","民运会","不实","不限","大病","小湾","蔚然成风","调运","实惠","特色旅游","代表作","四所","第一家","页岩"
"7","植树造林","抗震救灾","负债率","电站","微观经济","两手","万吨级","贫困面","地县","限时","实施","人均收入","环境","省际","监督机制","农业","煌","初级产品","红沙","着眼点","博物馆","救急","一银","农信社","内高班","万平方公里","查村","商标注册","焦化","黑色","铌","解放军","入侵","有人","严重危害","澜沧","吸引","单投","网网","一套","通勤","城市","应有","资本","发电","公务","陆","中俄","志愿","休闲游"
"8","塔","泛珠三角","策划","管权","申请量","通高","自然风光","强市","非金属","剔除","企业","集装箱运输","着力","时政","万公里","伟大旗帜","名医","中促","开放型","啤酒花","贵金属","智","奋力拼搏","自然生态","成网","观光农业","通勤","煤炭行业","数万人","花园","共圆","石虎","非同寻常","宗旨","春","三期","工农","临桂","东大","全面铺开","住房问题","福","红线","四次","原有","总","亿","煤化","第次","钢板"
"9","关键作用","盐","全球化","大唐","民族平等","建筑节能","技防","乳","遗留问题","供储","改革","将军","经济","通信网","技术性","b","谨记","有碍","军民共建","执法权","实惠","降低生产","增","万间","出口导向型","神圣","培训","劣","电池","较强","包钢","到来","继","写下","保卫工作","北海市","国民教育","以个","晨鸣","工业污染","批而","深远影响","教师工资","电子","临空","第九届","
""代表","反倾销","结转","不优"
"10","金融体制","权为民","比例","农校","掉队","更新换代","紧","江湖","窑厂","旧车","亿元","长庆","行政","系统化","难以","党群干群","迫切愿望","举办","医师","家禽","广开","加快调整","统筹兼顾","产前","万无电","展望未来","能快","以管","东巴","本级","企业化","百户","以盟市","用海","急","管线","依靠群众","扭亏为盈","菱","不断扩大","工程化","日本","不动产","政令畅通","人均","期望","歧视性","未经","授予点","大军"
