"","X1","X2","X3","X4","X5","X6","X7","X8"
"1","增长","工作","县","办好事","行使","少数民族","文化","省区市"
"2","实施","项目","省委","伊犁","作物","区情","完善","良好形象"
"3","提高","合作","十五","优生优育","民生问题","第十一届","就业","物价"
"4","社会","做好","商贸","牢记","南昌大学","教育资源","企业","团体"
"5","改革","战略","清醒","本领","执法监督","价","进一步","中亚"
"6","农村","企业","高水平","省市","不该","新思路","一批","公务员法"
"7","工程","支持","生物","汇集","生命线","边境县","体系","本外币"
"8","重点","经济","性","犯罪分子","强桂新","增速","生活","社会公众"
"9","产业","优化","港","形态","技术培训","下游","经济","流失"
"10","制度","国家","吸纳","创建","阶梯","技术含量","保障","意愿"
